CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen
1064052000,52.04123711340206,45504.72731218435,3167.6923828125,106405,1064052,2000,0.0,,0.0
1061121007,49.06493506493505,45073.58535156249,4272.96142578125,106112,1061121,1007,0.0,,0.0
1064063006,46.64615384615383,45497.371176421955,3598.3846435546875,106406,1064063,3006,0.0,,0.0
1061121001,48.51515151515152,45246.389204545456,4737.9228515625,106112,1061121,1001,0.0,,0.0
1065102000,40.378378378378365,44655.77574971977,3614.6923828125,106510,1065102,2000,0.0,,0.0
1065101008,35.69565217391303,44655.83936941964,3808.923095703125,106510,1065101,1008,0.0,,0.0
1061112011,53.714285714285715,45095.25581395348,5196.115234375,106111,1061112,2011,0.0,,0.0
1060203006,51.0,44881.18945312501,4014.423095703125,106020,1060203,3006,0.0,,0.0
1064061025,54.39215686274509,45478.233359375,3328.269287109375,106406,1064061,1025,0.0,,0.0
9203261046,0.0,43123.84468188316,6129.166720920139,920326,9203261,1046,6.6882691e-08,4408.030977334365,0.993778445096157
1065101001,46.62135922330098,44544.42578124999,3859.0,106510,1065101,1001,0.0,,0.0
1061112014,47.625,45011.58077116936,4150.73095703125,106111,1061112,2014,0.0,,0.0
1060101020,50.39705882352941,45419.779181985294,3694.9614257812495,106010,1060101,1020,0.0,,0.0
1061112016,48.70689655172413,44956.91692708335,4852.4228515625,106111,1061112,2016,0.0,,0.0
1064063003,52.60000000000001,44977.90625,3711.923095703125,106406,1064063,3003,0.0,,0.0
9203261033,0.0,42888.79761192373,6633.33857421875,920326,9203261,1033,1.46685112e-07,6445.840810078328,0.991976972297087
1013001014,49.50485436893202,45023.759951636916,4687.615478515625,101300,1013001,1014,1.12471322e-06,2036128.1564341749,0.0
1190032001,63.958333333333336,44234.38640625001,2850.230712890625,119003,1190032,2001,0.0,,0.0
4607005008,20.16267942583732,43441.99624327155,4834.0771484375,460700,4607005,5008,4.95658192e-07,6682.139076742388,0.505036862647915
1320012006,58.6875,44850.89723557692,4302.73095703125,132001,1320012,2006,0.0,,0.0
1320012003,59.208333333333336,44541.89723557693,4328.0,132001,1320012,2003,0.0,,0.0
3014004001,44.0,43726.30769230768,4910.115234375,301400,3014004,4001,0.0,,0.0
1278061011,83.94444444444446,45571.858203125004,3065.884521484375,127806,1278061,1011,0.0,,0.0
1278061013,67.85,44763.16071428571,3811.230712890625,127806,1278061,1013,0.0,,0.0
1331012000,74.01886792452831,45957.4479380123,3236.423095703125,133101,1331012,2000,0.0,,0.0
3102023008,54.59999999999999,44089.59099786931,4038.269287109375,310202,3102023,3008,0.0,,0.0
1352043007,48.035714285714285,44580.31570870534,4696.73095703125,135204,1352043,3007,0.0,,0.0
4604011046,52.315789473684205,43895.11474609376,4716.6923828125,460401,4604011,1046,0.0,,0.0
3102014010,75.0,44643.94891826923,3227.1923828125,310201,3102014,4010,0.0,,0.0
1242011000,66.08391608391612,44733.14634486607,2921.15380859375,124201,1242011,1000,0.0,,0.0
4603024002,50.172413793103466,43853.71305071722,4869.84619140625,460302,4603024,4002,0.0,,0.0
1321011002,61.42857142857146,44641.66085379464,3933.115478515625,132101,1321011,1002,0.0,,0.0
1327003000,61.84615384615384,44706.88406808034,4375.1923828125,132700,1327003,3000,0.0,,0.0
1349043000,58.50847457627117,45913.56787109375,3639.6538085937505,134904,1349043,3000,0.0,,0.0
1349071001,79.78125,46539.52175431912,2441.730712890625,134907,1349071,1001,0.0,,0.0
1241042005,55.04761904761906,44389.13448660714,3131.03857421875,124104,1241042,2005,0.0,,0.0
4600011003,0.0,42157.6955693123,6348.4228515625,460001,4600011,1003,3.52534936e-07,7442.8846424674275,0.996474217717056
1329002000,42.328358208955216,44981.66904633623,3567.6922607421875,132900,1329002,2000,0.0,,0.0
1352011006,55.111111111111114,44736.86679687501,4300.0771484375,135201,1352011,1006,0.0,,0.0
1331021001,62.111111111111114,45506.86132812501,3798.269287109375,133102,1331021,1001,0.0,,0.0
1352022013,54.55555555555556,44776.21289062499,4364.0771484375,135202,1352022,2013,0.0,,0.0
1352022014,52.31111111111111,45245.85695684524,4246.0,135202,1352022,2014,0.0,,0.0
1327001000,53.14634146341464,44824.039921875,4399.5771484375,132700,1327001,1000,0.0,,0.0
1327002005,61.91925465838512,45500.14475446428,3781.2115478515625,132700,1327002,2005,0.0,,0.0
1325021003,69.72448979591837,45871.3865470467,3718.4614257812495,132502,1325021,1003,0.0,,0.0
4610003002,47.8478260869565,43873.80190972221,4816.15380859375,461000,4610003,3002,0.0,,0.0
3106012018,71.29032258064512,44269.03712833736,2781.384521484375,310601,3106012,2018,0.0,,0.0
1327003010,74.525,45515.10791973039,4330.65380859375,132700,1327003,3010,0.0,,0.0
1352043010,45.919999999999995,44441.72216796874,4582.8076171875,135204,1352043,3010,0.0,,0.0
1352052001,27.078431372549005,44132.339664152336,4687.93603515625,135205,1352052,2001,4.13014023e-07,12865.89767339294,0.2030565881867
